image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
bost361.jpg,scenes,manmade,0,,1back,73,1
blueberry01.jpg,objects,natural,0,,1back,73,1
basketballhoop01.jpg,objects,manmade,1,,1back,73,1
basketballhoop01.jpg,objects,manmade,1,,1back,73,2
t_676099.jpg,scenes,manmade,0,,1back,73,1
bowrake.jpg,objects,manmade,0,,1back,73,1
CFD-BM-251-013-N.jpg,faces,male,0,,1back,73,1
lynx02.jpg,objects,natural,0,,1back,73,1
senedd-construction-site-200803-th-2.jpg,scenes,manmade,0,,1back,73,1
supermarche33-1.jpg,scenes,manmade,1,,1back,73,1
supermarche33-1.jpg,scenes,manmade,1,,1back,73,2
beach_120_08_flickr.jpg,scenes,natural,0,,1back,73,1
gym2.jpg,scenes,manmade,0,,1back,73,1
FreeFoto_castle_14_34.jpg,scenes,manmade,0,,1back,73,1
flipflop01a.jpg,objects,manmade,1,,1back,73,1
flipflop01a.jpg,objects,manmade,1,,1back,73,2
cherry01.jpg,objects,natural,1,,1back,73,1
cherry01.jpg,objects,natural,1,,1back,73,2
walldeco01.jpg,objects,manmade,1,,1back,73,1
walldeco01.jpg,objects,manmade,1,,1back,73,2
CFD-BF-234-167-N.jpg,faces,female,0,,1back,73,1
forest_17_01_askl.jpg,scenes,natural,0,,1back,73,1
CFD-BF-045-003-N.jpg,faces,female,0,,1back,73,1
CFD-WM-203-023-N.jpg,faces,male,1,,1back,73,1
CFD-WM-203-023-N.jpg,faces,male,1,,1back,73,2
dalmatian.jpg,objects,natural,0,,1back,73,1
bowlingalley.jpg,scenes,manmade,0,,1back,73,1
hippopotamus.jpg,objects,natural,0,,1back,73,1
ladle01b.jpg,objects,manmade,1,,1back,73,1
ladle01b.jpg,objects,manmade,1,,1back,73,2
build857.jpg,scenes,manmade,0,,1back,73,1
cdMC727.jpg,scenes,natural,0,,1back,73,1
CFD-BF-047-003-N.jpg,faces,female,0,,1back,73,1
plum01.jpg,objects,natural,0,,1back,73,1
cav3e.jpg,scenes,natural,0,,1back,73,1
126829079_ec08a3996c.jpg,scenes,manmade,1,,1back,73,1
126829079_ec08a3996c.jpg,scenes,manmade,1,,1back,73,2
jeep.jpg,objects,manmade,0,,1back,73,1
calanques_01_10_google.jpg,scenes,natural,0,,1back,73,1
CFD-BM-216-088-N.jpg,faces,male,0,,1back,73,1
walnut01b.jpg,objects,natural,1,,1back,73,1
walnut01b.jpg,objects,natural,1,,1back,73,2
seagull.jpg,objects,natural,0,,1back,73,1
CFD-WM-024-015-N.jpg,faces,male,0,,1back,73,1
int3.jpg,scenes,manmade,0,,1back,73,1
CFD-WF-003-003-N.jpg,faces,female,0,,1back,73,1
CFD-WM-239-128-N.jpg,faces,male,0,,1back,73,1
CFD-LF-254-125-N.jpg,faces,female,0,,1back,73,1
plant05b.jpg,objects,natural,0,,1back,73,1
CFD-AF-200-228-N.jpg,faces,female,0,,1back,73,1
Witton_playground.jpg,scenes,manmade,1,,1back,73,1
Witton_playground.jpg,scenes,manmade,1,,1back,73,2
FreeFoto_mountain_7_36.jpg,scenes,natural,1,,1back,73,1
FreeFoto_mountain_7_36.jpg,scenes,natural,1,,1back,73,2
CFD-BF-218-207-N.jpg,faces,female,1,,1back,73,1
CFD-BF-218-207-N.jpg,faces,female,1,,1back,73,2
CFD-WM-020-001-N.jpg,faces,male,0,,1back,73,1
weight04c.jpg,objects,manmade,0,,1back,73,1
AA005940.jpg,scenes,natural,0,,1back,73,1
bath.jpg,scenes,manmade,0,,1back,73,1
CFD-WM-245-123-N.jpg,faces,male,0,,1back,73,1
CFD-AM-224-126-N.jpg,faces,male,0,,1back,73,1
tablesaw.jpg,objects,manmade,1,,1back,73,1
tablesaw.jpg,objects,manmade,1,,1back,73,2
pb_99_1_0532_33_l.jpg,scenes,manmade,0,,1back,73,1
new_tour-complet-hiver-d-7.jpg,scenes,natural,1,,1back,73,1
new_tour-complet-hiver-d-7.jpg,scenes,natural,1,,1back,73,2
sunflowerseeds.jpg,objects,natural,1,,1back,73,1
sunflowerseeds.jpg,objects,natural,1,,1back,73,2
a812069.jpg,scenes,manmade,0,,1back,73,1
CFD-WM-202-107-N.jpg,faces,male,1,,1back,73,1
CFD-WM-202-107-N.jpg,faces,male,1,,1back,73,2
CFD-LF-227-054-N.jpg,faces,female,1,,1back,73,1
CFD-LF-227-054-N.jpg,faces,female,1,,1back,73,2
